Confusion Matrix:
Predicted/Actual,NONE,ELECTION,NONELECTION
NONE,1372,1,65
ELECTION,1021,672,107
NONELECTION,2164,64,2413

Statistics:
Type,Precision,Recall,F1
NONE,0.9541029207232267,0.3010092145677929,0.4576384256170781
ELECTION,0.37333333333333335,0.9118046132971506,0.5297595585337012
NONELECTION,0.5199310493428141,0.9334622823984526,0.6678660393025188
Overall,,,0.5333480266749988
