Confusion Matrix:
Predicted/Actual,NONE,ELECTION,NONELECTION
NONE,2131,68,245
ELECTION,687,91,358
NONELECTION,1740,552,1982

Statistics:
Type,Precision,Recall,F1
NONE,0.870151082074316,0.46752961825362,0.6082488939631796
ELECTION,0.07982456140350877,0.1279887482419128,0.09832522960561858
NONELECTION,0.46189699370776044,0.7667311411992263,0.5764979639325188
Overall,,,0.5516367371656898
