"Type, Precision, Recall, F1"
BOTH,0.010128913443830571,0.4230769230769231,0.019784172661870505
NONE,0.5939927498705334,0.7549363756033348,0.6648632982320549
ELECTION,0.36535859269282817,0.379746835443038,0.3724137931034483
NONELECTION,0.5983606557377049,0.05647969052224371,0.10321668434075647
Overall,,,0.4521018575822744
